year,nominees
1982,"
Carlo Coccioli, La casa di Tacubaya (Editoriale Nuova)
Andrea De Carlo, Uccelli da gabbia e da voliera(Einaudi)
Antonio De Petro, Fuor della vita è il termine (Città Armoniosa)
Corrado Indraccolo, Il fuorilecce (Congedo)
Rosetta Loy, L’estate di Letuqué (Rizzoli)
Raul Lunardi, Alessandria (Fògola)
Annalisa Moncada, L’anno venturo al di là del mare(Longanesi)
Goffredo Parise, Sillabario n. 2 (Mondadori)
Ettore Polito, L’altra sponda (Schena)
Renzo Ricchi, Attesa della farfalla (Vallecchi)
"
1983,"
Giampiero Bona, Passeggiata con il diavolo (Garzanti)
Isabella Bossi Fedrigotti, Casa di guerra (Longanesi)
Flavio Caroli, Mayerling, amore mio (Bompiani)
Carla Cerati, L’uno e l’altro (Rizzoli)
Gaia De Beaumont, Un venditore d’inchiostro (Frassinelli)
Antonio De Petro, L’imbroglio (Città Armoniosa)
Davide Lajolo, Il merlo di campagna e il merlo di città(Rizzoli)
Maria Rita Parsi, Album (Savelli)
Mario Pinzauti, Una cronaca del 1946 (Corso)
Mario Pomilio, Il Natale del 1833 (Rusconi)
Giuseppe Pontiggia, Il raggio d’ombra (Mondadori)
Antonio Ratiglia, Estraneo (Nuova Editrice Spada)
"
1984,"
Claudio Angelini, Malato speciale (Rusconi)
Pietro Citati, Tolstoj (Longanesi)
Francesca Duranti, La casa sul lago della luna (Rizzoli)
Fausto Gianfranceschi, Giorgio Vinci psicologo (Editoriale Nuova)
Roberto Giardina, La lingua del paradiso (Spirali)
Pieraldo Marasi, I fuochi dell’assedio (SugarCo)
Giovanni Mariotti, Butroto (Feltrinelli)
Ettore Polito, Otto rose per un fratello (Schena)
Aldo Rosselli, La famiglia Rosselli (Bompiani)
Francesca Sanvitale, L’uomo del parco (Mondadori)
Carlo Tondi, Polvere da brodo (SugarCo)
"
1985,"
Silvano Agosti, Il cercatore di rugiada e l’uomo proiettile(L’Immagine)
Giuliana Berlinguer, Una per sei (Camunia)
Gesualdo Bufalino, Argo il cieco ovvero i sogni della memoria (Sellerio)
Luca Canali, Spezzare l’assedio (Bompiani)
Giovanni Gigliozzi, Francesco e la povera dama (Newton Compton)
Nico Naldini, Vita di Giovanni Comisso (Einaudi)
Ferruccio Parazzoli, Il giardino delle rose (Rizzoli)
Renzo Ricchi, La punizione (Vallecchi)
Giuseppe Rovella, Deneb (Salvatore Sciascia)
Carlo Sgorlon, L’armata dei fiumi perduti (Mondadori)
Franco Zagato, Quando la luna (Marsilio)
"
1986,"
Maria Bellonci, Rinascimento privato (Mondadori)
Giuseppe Bonaviri, È un rosseggiar di peschi e d’albicocchi (Rizzoli)
Maria Giuditta Cristofanetti Boldrini, Forse verranno… (Cappelli)
Massimo D’Avack, Si sa dov’è il cuore (Rusconi)
Fabio De Agostini, Il breve passo (Edelweiss)
Alain Elkann, Le due babe (Mondadori)
Francesco Grisi, A futura memoria (Newton Compton)
Enrico Job, La palazzina di villeggiatura (Sellerio)
Laura Mancinelli, Il fantasma di Mozart (Einaudi)
Enrico Menduni, Caro P.C.I. (Bompiani)
Marta Morazzoni, La ragazza col turbante (Longanesi)
Roberto Pazzi, La principessa e il drago (Garzanti)
Giulio Petroni, Le speranze e gli inganni (Dalia)
Franco Rella, Attraverso l’ombra (Camunia)
Gianfranco Rossi, I sogni ricorrenti di Biagio Balestrieri (Pellicanolibri)
"
1987,"
Dario Bellezza, L’amor felice (Rusconi)
Arrigo Cavalieri, Il suo nome era Francesca (Edizioni dello Zibaldone)
Gaia De Beaumont, Care cose (Frassinelli)
Marco Lodoli e Silvia Bre, Snack Bar Budapest(Bompiani)
Claudio Magris, Danubio (Garzanti)
Luigi Malerba, Il pianeta azzurro (Garzanti)
Renato Minore, Leopardi (Bompiani)
Stanislao Nievo, Le isole del Paradiso (Mondadori)
Ettore Paratore, Era un’allegra brigata (Newton Compton)
Carla Perotti, Lungo le rive del tempo (De Agostini)
Sandra Petrignani, Navigazioni di Circe (Theoria)
Elisabetta Pierallini, I belli di famiglia (Camunia)
Nantas Salvalaggio, Fuga da Venezia (Rizzoli)
Clara Sereni, Casalinghitudine (Einaudi)
"
1988,"
Giuliana Berlinguer, Il braccio d’argento (Camunia)
Carlo Bernari, Il grande letto (Mondadori)
Gesualdo Bufalino, Le menzogne della notte (Bompiani)
Luca Canali, Sala Hobby (Il girasole)
Maurizio Cohen, La gabbia (Marsilio)
Giorgio Montefoschi, Lo sguardo del cacciatore (Rizzoli)
Roberto Pazzi, La malattia del tempo (Marietti)
Giorgio Prosperi, Un cavallo va alla guerra (Serarcangeli)
Brunello Vandano, Donna con cerchio e spada (Newton Compton)
Turi Vasile, Paura del vento (Sellerio)
"
1989,"
Barbara Alberti, Dispetti divini (Marsilio)
Giuseppe Antonelli, Lucullo (Newton Compton)
Franca Bacchiega, Falce di luna (Amadeus)
Gianfranco Bettetini, Deserto sulla terra (Bompiani)
Roberto Calasso, Le nozze di Cadmo e Armonia(Adelphi)
Paola Capriolo, Il nocchiero (Feltrinelli)
Ignazio Gandolfo, Piccolo boogie (Ellemme)
Mario Lunetta, Puzzle d’autunno (Camunia)
Salvatore Mannuzzu, Procedura (Einaudi)
Giovanni Passeri, L’esilio (Serarcangeli)
Giuseppe Pontiggia, La grande sera (Mondadori)
Clara Sereni, Manicomio primavera (Giunti)
"
1990,"
Paolo Barbaro, Una sola terra (Marsilio)
Luca Canali, Segreti (Editori Riuniti)
Carla Cerati, La cattiva figlia (Frassinelli)
Franco Cuomo, Gunther d’Amalfi, cavaliere templare(Newton Compton)
Vittorio Gassman, Memorie del sottoscala (Longanesi)
Marina Jarre, Ascanio e Margherita (Bollati Boringhieri)
Grytzko Mascioni, La notte di Apollo (Rusconi)
Raffaele Nigro, La baronessa dell’Olivento (Camunia)
Ettore Polito, La grande casa bianca (Schena)
Gianfranco Rossi, L’intreccio (Il Ventaglio)
Gianfranco Rugarli, Andromeda e la notte (Rizzoli)
Sebastiano Vassalli, La chimera (Einaudi)
Giovanna Vizzari, Medea (Editoriale Sette)
Guglielmo Zenchi, Carne in piedi (Ellemme)
"
1991,"
Paolo Barbaro, Lunario Veneziano (La Stampa)
Angela Bianchini, Capo d’Europa (Camunia)
Paola Capriolo, Il doppio regno (Bompiani)
Maria Rosa Cutrufelli, La briganta (La luna)
Antonio Debenedetti, Se la vita non è vita (Rizzoli)
Antonio De Petro, Giovanni (Città Armoniosa)
Gina Lagorio, Tra le mura stellate (Mondadori)
Enrico Morovich, Piccoli Amanti (Rusconi)
Susanna Tamaro, Per voce sola (Marsilio)
Paolo Volponi, La strada per Roma (Einaudi)
"
1992,"
Andrea Camilleri, La stagione della caccia (Sellerio)
Luca Canali, Diverse solitudini (Studio Tesi)
Carla Cerati, La perdita di Diego (Frassinelli)
Vincenzo Consolo, Nottetempo, casa per casa(Mondadori)
Luca Doninelli, La revoca (Garzanti)
Elena Ferrante, L’amore molesto (e/o)
Salvatore Mannuzzu, La figlia perduta (Einaudi)
Marina Mizzau, I bambini non volano (Bompiani)
Gianni Riotta, Cambio di stagione (Feltrinelli)
Vittoria Ronchey, 1944 (Rizzoli)
Marcello Venturoli, Io, Saffo (Newton Compton)
"
1993,"
Renato Besana, Frontiera di nebbia (Camunia)
Edith Bruck, Nuda proprietà  (Marsilio)
Luca Canali, Colpo d’ombra (Ponte alle Grazie)
Ennio De Concini, La verità  (SugarCo)
Melo Freni, Un amore a Spoleto (Pellicanolibri)
Dacia Maraini, Bagheria (Rizzoli)
Giovanni Mariotti, Matilde (Anabasi)
Gianluigi Melega, Tempo lungo (Baldini & Castoldi)
Rossana Ombres, Un dio coperto di rose (Mondadori)
Giulio Petroni, La strega di Colobraro (Dalia)
Domenico Rea, Ninfa plebea (Leonardo)
Clara Sereni, Il gioco dei regni (Giunti)
Emilio Tadini, La tempesta (Einaudi)
"
1994,"
Maria Luisa Aguirre D’Amico, L’altalena (Camunia)
Gaetano Cappelli, Volare basso (Frassinelli)
Luce D’Eramo, Ultima luna (Mondadori)
Grazia Livi, Vincoli segreti (La Tartaruga)
Margaret Mazzantini, Il catino di zinco (Marsilio)
Giorgio Montefoschi, La casa del padre (Bompiani)
Francesca Sanvitale, Il figlio dell’Impero (Einaudi)
Raffaele Sbrescia, Diario di un prefetto (Guida)
Filippo Tuena, Il volo dell’occasione (Longanesi)
Marcello Venturoli, La stella di Giuditta (Newton Compton)
"
1995,"
Dario Bellezza, Nozze col diavolo (Marsilio)
Andrea Camilleri, Il birraio di Preston (Sellerio)
Luca Canali, Nei pleniluni sereni (Longanesi)
Mariateresa Di Lascia, Passaggio in ombra (Feltrinelli)
Bruno Maier, L’assente (Studio Tesi)
Luigi Malerba, Le maschere (Mondadori)
Maria Orsini Natale, Francesca e Nunziata (Anabasi)
Elisabetta Rasy, Ritratti di signora (Rizzoli)
Giampaolo Rugarli, L’infinito, forse (Piemme)
Marisa Volpi, Congedi (Giunti)
"
1996,"
Alessandro Barbero, Bella vita e guerre altrui di Mr. Pyle, gentiluomo (Mondadori)
Rocco Carbone, Il comando (Feltrinelli)
Andrea Carraro, L’erba cattiva (Giunti)
Enrico Job, Il pittore felice (Sellerio)
Melania G. Mazzucco, Il bacio della Medusa (Baldini & Castoldi)
Giulio Mozzi, La felicità terrena (Einaudi)
Massimo Pedroni, Ferdinand (Serarcangeli)
Pia Pera, Diario di Lo (Marsilio)
Chiara Provera, Lettere al Califfo (Giunti)
Florio Santini, Il cuore non bruciò. Sulle orme di Shelley(Mauro Baroni)
Miro Silvera, Il prigioniero di Aleppo (Frassinelli)
Antonio Spinosa, Piccoli sguardi (Piemme)
Sandro Veronesi, Live (Bompiani)
"
1997,"
Eraldo Affinati, Campo del sangue (Mondadori)
Ippolita Avalli, La Dea dei baci (Baldini & Castoldi)
Raffaele Crovi, L’indagine di via Rapallo (Piemme)
Franco Cuomo, Il codice Macbeth (Newton Compton)
Giuseppina De Rienzo, Passo d’ombre (Avagliano)
Silvana Grasso, L’albero di Giuda (Einaudi)
Claudio Magris, Microcosmi (Garzanti)
Enrico Pellegrini, La negligenza (Marsilio)
Bruno Pischedda, Com’è grande la città  (Tropea)
Silvio Raffo, La voce della pietra (Il Saggiatore)
"
1998,"
Giuseppe Bordi, Attentato in Parlamento (Serarcangeli)
Carlo D’Amicis, Il ferroviere e il golden gol (Transeuropa)
Stefano Marcelli, Il dio femmina stuprato nel bosco(Fazi)
Benito Mazzi, Nel sole zingaro (Interlinea)
Melania G. Mazzucco, La camera di Baltus (Baldini & Castoldi)
Raffaele Nigro, Adriatico (Giunti)
Rosangela Percoco, Portami sul palco a ballare(Rusconi)
Romana Petri, Alle Case Venie (Marsilio)
Ludovica Ripa di Meana, Marzio e Marta (Il Saggiatore)
Enzo Siciliano, I bei momenti (Mondadori)
"
1999,"
Valerio Aiolli, Io e mio fratello (e/o)
Luther Blissett, Q (Einaudi)
Corrado Calabrò, Ricorda di dimenticarla (Newton Compton)
Maria Rosa Cutrufelli, Il paese dei figli perduti (Tropea)
Marco Ferrante, Mai alle quattro e mezzo (Fazi)
Marcello Fois, Gap (Frassinelli)
Nicola Lecca, Concerti senza orchestra (Marsilio)
Dacia Maraini, Buio (Rizzoli)
Giuseppe Montesano, Nel corpo di Napoli (Mondadori)
Roberto Pazzi, La città volante (Baldini & Castoldi)
"
2000,"
Vladimiro Bottone, L’ospite della vita (Avagliano)
Adele Cambria, Storia d’amore e schiavitù (Marsilio)
Andrea Canobbio, Indivisibili (Rizzoli)
Luca Doninelli, La nuova era (Garzanti)
Ernesto Ferrero, N. (Einaudi)
Fosco Maraini, Case, amori, universi (Mondadori)
Roberto Parpaglioni, In quattro tempi (Castelvecchi)
Alessandro Pera, Afa (Odradek)
Renata Pisu, La via della Cina (Sperling& Kupfer)
Giuseppe Quatriglio, Sabìr (Sellerio)
"
2001,"
Maria Pia Ammirati, I cani portano via le donne sole(Empirìa)
Roberto Barbolini, Chiamala veglia (Aragno)
Vincenzo Cerami, Fantasmi (Einaudi)
Antonio Debenedetti, Un giovedì dopo le cinque (Rizzoli)
Danilo Donati, Coprilfuoco (Newton Compton)
Annalucia Lomunno, Rosa sospirosa (Piemme)
Paola Mastrocola, Palline di pane (Guanda)
Vincenzo Pardini, La terza scimmia (Quiritta)
Sergio Pent, Il custode del museo dei giocattoli(Mondatori)
Domenico Starnone, Via Gemito (Fetrinelli)
Turi Vasile, Giòn (Pironti)
"
2002,"
Goffredo Buccini, Orapronò (Frassinelli)
Iride Cristina Carucci, Amalia a perdere (Editori Riuniti)
Paolo Del Colle, La ragazza dell’Eur (Quiritta)
Cesare de Seta, Terremoti (Aragno)
Lisa Ginzburg, Desiderava la bufera (Feltrinelli)
Sergio Givone, Nel nome di un dio barbaro (Einaudi)
Alessandra Lavagnino, Le bibliotecarie di Alessandria(Sellerio)
Giovanni Mastrangelo, African Soap (Marsilio)
Margaret Mazzantini, Non ti muovere (Mondadori)
Ermanno Rea, La dismissione (Rizzoli)
Giovanni Russo, Le olive verdi (Scheiwiller)
"
2003,"
Silvano Agosti, Il semplice oblio (L’immagine)
Roberto Alajmo, Cuore di madre (Mondadori)
Giuseppe Antonelli, Trenità  (peQuod)
Errico Buonanno, Piccola serenata notturna (Marsilio)
Franco Matteucci, Il visionario (Baldini & Castoldi)
Melania G. Mazzucco, Vita (Rizzoli)
Chiara Palazzolo, I bambini sono tornati (Piemme)
Antonio Pascale, La manutenzione degli affetti (Einaudi)
Sandra Petrignani, La scrittrice abita qui (Neri Pozza)
Leonardo Pica Ciamarra, Ad avere occhi per vedere(minimum fax)
Pietro Spirito, Speravamo di più (Guanda)
Valerio Varesi, Il fiume delle nebbie (Frassinelli)
"
2004,"
Vanessa Ambrosecchio, Cico c’è (Einaudi)
Marco Fabio Apolloni, Il mistero della Locanda Serny (Ponte alle Grazie)
Rocco Brindisi, Elena guarda il mare (Quiritta )
Maria Rosa Cutrufelli, La donna che visse per un sogno (Frassinelli)
Elena Loewenthal, Attese (Bompiani)
Enrico Micheli, Le scale del paradiso (Sellerio)
Marina Mizzau, Il silenzio dei pesci (Manni)
Valeria Parrella, Mosca più balena (minimum fax)
Flaminia Petrucci, Uova di luce (peQuod)
Francesco Piccolo, Allegro occidentale (Feltrinelli)
Paola Pitagora, Antigone e l’onorevole (Baldini Castoldi Dalai)
Ugo Riccarelli, Il dolore perfetto (Mondadori)
"
2005,"
Alberto Capitta, Creaturine (Frassinelli)
Rosalba Conserva, Casa Bàrnaba (Manni)
Giuseppe Conte, La casa delle onde (Longanesi)
Maurizio Cucchi, Il male è nelle cose (Mondadori)
Giovanna Giordano, Il mistero di Lithian (Marsilio)
Maurizio Maggiani, Il viaggiatore notturno (Feltrinelli)
Enzo Muzii, Fuori dai giochi (Aragno)
Edoardo Nesi, L’età  dell’oro (Bompiani)
Valeria Parrella, Per grazia ricevuta (minimum fax)
Beppe Sebaste, H.P. L’ultimo autista di Lady Diana(Quiritta)
Paolo Teobaldi, La badante (e/o)
"
2006,"
Massimo Cacciapuoti, L’abito da sposa (Garzanti)
Sergio De Santis, Cronache dalla città dei crolli(Avagliano)
Francesco Fontana, L’imitatore di corvi (Feltrinelli)
Pietro Grossi, Pugni (Sellerio)
Lucrezia Lerro, Certi giorni sono felice (peQuod)
Giuseppe Manfridi, Cronache dal paesaggio (Gremese)
Massimiliano Palmese, L’amante proibita (Newton Compton)
Claudia Patuzzi, La stanza di Garibaldi (Manni)
Rossana Rossanda, La ragazza del secolo scorso(Einaudi)
Wilson Saba, Sole & baleno (Il Foglio)
Sandro Veronesi, Caos Calmo (Bompiani)
"
2007,"
Milena Agus, Mal di pietre (nottetempo)
Silvia Bonucci, Gli ultimi figli (Avagliano)
Laura Bosio, Le stagioni dell’acqua (Longanesi)
Maria Stella Conte, La casa dei gusci di granchio(Baldini Castoldi Dalai)
Francesco Fagioli, Un certo senso (Marsilio)
Andrea Ferrari, Passaggi di tempo (Fazi)
Mario Fortunato, I giorni innocenti della guerra(Bompiani)
Fabio Geda, Per il resto del viaggio ho sparato agli indiani (Instar)
Franco Matteucci, Il profumo della neve (Newton Compton)
Rossella Postorino, La stanza di sopra (Neri Pozza Bloom)
Carola Susani, Percore vive (minimum fax)
Elena Varvello, L’economia delle cose (Fandango)
"
2008,"
Ruggero Cappuccio, La notte dei due silenzi (Sellerio)
Cristina Comencini, L’illusione del bene (Feltrinelli)
Carlo D’Amicis, La guerra dei cafoni (minimum fax)
Diego De Silva, Non avevo capito niente (Einaudi)
Giuseppina De Rienzo, Vico del fico al Purgatorio (Manni)
Paolo Giordano, La solitudine dei numeri primi (Mondadori)
Ron Kubati, Il buio del mare (Giunti)
Giuseppe Manfridi, La cuspide di ghiaccio (Gremese)
Cristina Masciola, Razza bastarda (Fanucci)
Emiliano Poddi, Tre volte invano (Instar Libri)
Lidia Ravera, Le seduzioni dell’inverno (nottetempo)
Ermanno Rea, Napoli ferroviaria (Rizzoli)
"
2009,"
Ugo Barbàra, In terra consacrata (Piemme)
Filippo Bologna, Come ho perso la guerra (Fandango Libri)
Dario Buzzolan, I nostri occhi sporchi di terra (Baldini Castoldi Dalai)
Gaetano Cappelli, La vedova, il Santo e il segreto del Pacchero estremo (Marsilio)
Cristiano Cavina, I frutti dimenticati (Marcos y Marcos)
Linda Ferri, Cecilia (e/o)
Massimo Lugli, L’istinto del lupo (Newton Compton)
Tiziano Scarpa, Stabat Mater (Einaudi)
Antonio Scurati, Il bambino che sognava la fine del mondo (Bompiani)
Giorgio Vasta, Il tempo materiale (minimum fax)
Cesarina Vighy, L’ultima estate (Fazi)
Andrea Vitali, Almeno il cappello (Garzanti)
"
2010,"
Silvia Avallone, Acciaio (Rizzoli)
Angela Bubba, La casa (Elliot)
Barbara Garlaschelli, Non ti voglio vicino (Frassinelli)
Beatrice Masini, Bambini nel bosco (Fanucci)
Rosa Matteucci, Tutta mio padre (Bompiani)
Sebastiano Mondandori, Un anno fa domani (Instar Libri)
Raul Montanari, Strane cose, domani (Baldini Castoldi Dalai)
Matteo Nucci, Sono comuni le cose degli amici (Ponte alle Grazie)
Lorenzo Pavolini, Accanto alla tigre (Fandango)
Antonio Pennacchi, Canale Mussolini (Mondadori)
Francesco Recami, Prenditi cura di me (Sellerio)
Paolo Sorrentino, Hanno tutti ragione (Feltrinelli)
"
2011,"
Bruno Arpaia, L’energia del vuoto (Guanda)
Gino Battaglia, Malabar (Guida)
Alessandro Bertante, Nina dei Lupi (Marsilio)
Luciana Castellina, La scoperta del mondo (nottetempo)
Mario Desiati, Ternitti (Mondadori)
Viola Di Grado, Settanta acrilico trenta lana (e/o)
Fabio Geda, Nel mare ci sono i coccodrilli (Dalai)
Lorenzo Greco, Il confessore di Cavour (Manni)
Edoardo Nesi, Storia della mia gente (Bompiani)
Giorgio Nisini, La città di Adamo (Fazi)
Gilberto Severini, A cosa servono gli amori infelici (Playground)
Mariapia Veladiano, La vita accanto (Einaudi)
"
2012,"
Giuseppe Aloe, La logica del desiderio (Giulio Perrone editore)
Gianrico Carofiglio, Il silenzio dell’onda (Rizzoli)
Davide Enia, Così in terra (Dalai editore)
Marcello Fois, Nel tempo di mezzo (Einaudi)
Lorenza Ghinelli, La colpa (Newton Compton)
Giovanni Greco, Malacrianza (Nutrimenti)
Giorgio Manacorda, Il corridoio di legno (Voland)
Marco Mantello, La rabbia (Transeuropa)
Gaia Manzini, La scomparsa di Lauren Armstrong (Fandango)
Carlo Pedini, La sesta stagione (Cavallo di ferro)
Alessandro Piperno, Inseparabili. Il fuoco amico dei ricordi (Mondadori)
Emanuele Trevi, Qualcosa di scritto (Ponte alle Grazie)
"
2013,"
Lorenzo Amurri, Apnea (Fandango)
Aldo Busi, El especialista de Barcelona (Dalai)
Gaetano Cappelli, Romanzo irresistibile della mia vita vera (Marsilio)
Matteo Cellini, Cate, io (Fazi)
Paolo Cognetti, Sofia si veste
sempre di nero (minimum fax)
Paolo Di Paolo, Mandami tanta vita (Feltrinelli)
Alessandra Fiori, Il cielo è dei potenti (e/o)
Matteo Marchesini, Atti mancati (Voland)
Alessandro Perissinotto, Le colpe dei padri (Piemme)
Romana Petri, Figli dello stesso padre (Longanesi)
Walter Siti, Resistere non serve a niente (Rizzoli)
Simona Sparaco, Nessuno sa di noi (Giunti)
"
2014,"
Giuseppe Catozzella, Non dirmi che hai paura (Feltrinelli)
Antonella Cilento, Lisario o il piacere infinito delle donne (Mondadori)
Donatella Di Pientrantonio, Bella mia (Elliot)
Gipi, unastoria (Coconino Press-Fandango)
Marco Magini, Come fossi solo (Giunti)
Giuseppe Munforte, Nella casa di vetro (Gaffi)
Francesco Pecoraro, La vita in tempo di pace (Ponte alle Grazie)
Paolo Piccirillo, La terra del Sacerdote (Neri Pozza)
Francesco Piccolo, Il desiderio di essere come tutti (Einaudi)
Giorgio Pressburger, Storia umana e inumana (Bompiani)
Elisa Ruotolo, Ovunque, proteggici (Nottetempo)
Antonio Scurati, Il padre infedele (Bompiani)
"
2015,"
Vinicio Capossela, Il paese dei coppoloni (Feltrinelli)
Mauro Covacich, La sposa (Bompiani)
Elena Ferrante, Storia della bambina perduta (e/o)
Vins Gallico, Final Cut (Fandango)
Fabio Genovesi, Chi manda le onde (Mondadori)
Nicola Lagioia, La ferocia (Einaudi)
Wanda Marasco, Il genio dell’abbandono (Neri Pozza)
Marina Mizzau, Se mi cerchi non ci sono (Manni)
Marco Santagata, Come donna innamorata (Guanda)
Clara Sereni, Via Ripetta 155 (Giunti)
Paolo Zardi, XXI Secolo (Neo)
Zerocalcare, Dimentica il mio nome (Bao Publishing)
"
2016,"
Eraldo Affinati, L’uomo del futuro (Mondadori)
Edoardo Albinati, La scuola cattolica (Rizzoli)
Rossana Campo, Dove troverete un altro padre come il mio (Ponte alla Grazie)
Luciano Funetta, Dalle rovine (Tunué)
Simona Lo Iacono, Le streghe di Lenzavacche (e/o)
Paolo Malaguti, La reliquia di Costantinopoli (Neri Pozza)
Giordano Meacci, Il cinghiale che uccise Liberty Valance (minimum fax)
Antonio Moresco, L’addio (Giunti)
Demetrio Paolin, Conforme alla gloria (Voland)
Raffaella Romagnolo, La figlia sbagliata (Frassinelli)
Vittorio Sermonti, Se avessero (Garzanti)
Elena Stancanelli, La femmina nuda (La nave di Teseo)
"
2017,"
Teresa Ciabatti, La più amata (Mondadori)
Paolo Cognetti, Le otto montagne (Einaudi)
Marco Ferrante, Gin tonic a occhi chiusi (Giunti)
Wanda Marasco, La compagnia delle anime finte (Neri Pozza)
Chiara Marchelli, Le notti blu (Perrone)
Monaldi&Sorti, Malaparte. Morte come me (Baldini&Castoldi)
Matteo Nucci, È giusto obbedire alla notte (Ponte alle Grazie)
Ferruccio Parazzoli, Amici per paura (SEM)
Nicola Ravera Rafele, Il senso della lotta (Fandango Libri)
Alberto Rollo, Un’educazione milanese (Manni)
Marco Rossari, Le cento vite di Nemesio (e/o)
Vanni Santoni, La stanza profonda (Laterza)
"
2018,"
Marco Balzano, Resto qui (Einaudi) 
Carlo Carabba, Come un giovane uomo (Marsilio) 
Carlo D’Amicis, Il gioco (Mondadori) 
Silvia Ferreri, La madre di Eva (NEO Edizioni)
Helena Janeczek, La ragazza con la Leica (Guanda) 
Lia Levi, Questa sera è già domani (Edizioni E/O)
Elvis Malaj, Dal tuo terrazzo si vede casa mia (Racconti Edizioni)
Francesca Melandri, Sangue giusto (Rizzoli) 
Angela Nanetti, Il figlio prediletto (Neri Pozza) 
Sandra Petrignani, La corsara. Ritratto di Natalia Ginzburg (Neri Pozza)
Andrea Pomella, Anni luce (ADD Editore)
Yari Selvetella, Le stanze dell’addio (Bompiani)
"
2019,"
Valerio Aiolli, Nero ananas (Voland)
Paola Cereda, Quella metà di noi (Perrone)
Benedetta Cibrario, Il rumore del mondo (Mondadori)
Mauro Covacich, Di chi è questo cuore (La nave di Teseo)
Claudia Durastanti, La straniera (La nave di Teseo)
Pier Paolo Giannubilo, Il risolutore (Rizzoli)
Marina Mander, L’età straniera (Marsilio)
Eleonora Marangoni, Lux (Neri Pozza)
Cristina Marconi, Città irreale (Ponte alle Grazie)
Marco Missiroli, Fedeltà (Einaudi)
Antonio Scurati, M. Il figlio del secolo (Bompiani)
Nadia Terranova, Addio fantasmi (Einaudi)
"
2020,"
Silvia Ballestra, La nuova stagione (Bompiani)
Marta Barone, Città sommersa (Bompiani)
Jonathan Bazzi, Febbre (Fandango Libri)
Gianrico Carofiglio, La misura del tempo (Einaudi)
Gian Arturo Ferrari, Ragazzo italiano (Feltrinelli)
Alessio Forgione, Giovanissimi (NN Editore)
Giuseppe Lupo, Breve storia del mio silenzio (Marsilio)
Daniele Mencarelli, Tutto chiede salvezza (Mondadori)
Valeria Parrella, Almarina (Einaudi)
Remo Rapino, Vita, morte e miracoli di Bonfiglio Liborio (Minimum Fax)
Sandro Veronesi, Il colibrì (La nave di Teseo)
Gian Mario Villalta, L’apprendista (SEM)
"
2021,"
Andrea Bajani, Il libro delle case (Feltrinelli)
Edith Bruck, Il pane perduto (La nave di Teseo)
Maria Grazia Calandrone, Splendi come vita (Ponte alle Grazie)
Giulia Caminito, L’acqua del lago non è mai dolce (Bompiani)
Teresa Ciabatti, Sembrava bellezza (Mondadori)
Donatella Di Pietrantonio, Borgo Sud (Einaudi)
Lisa Ginzburg, Cara pace (Ponte alle Grazie)
Giulio Mozzi, Le ripetizioni (Marsilio)
Daniele Petruccioli, La casa delle madri (TerraRossa)
Emanuele Trevi, Due vite (Neri Pozza)
Alice Urciuolo, Adorazione (66thand2nd)
Roberto Venturini, L’anno che a Roma fu due volte Natale (SEM)
"
